Artist;Listeners;Daily Trend;Peak;PkListeners
ArcÃ¡ngel;23;798;577;47
Glass Animals;23;750;110;28
Ryan Castro;23;745;395;24
Don Toliver;23;741;853;42
Alok;23;687;842;103
Romeo Santos;23;683;598;17
Luke Combs;23;665;95;19
Peggy Gou;23;475;593;32
Conan Gray;23;450;283;29
Aerosmith;23;377;764;50
Whitney Houston;23;349;781;20
Zara Larsson;23;300;652;45
Gorillaz;23;290;331;1
Tom Odell;23;284;933;19
Charli XCX;23;281;504;6
Disney;23;281;326;36
2Pac;23;214;872;3
Giveon;23;176;661;6
Joji;23;123;178;25
Em Beihold;23;42;309;3
R3HAB;22;953;721;18
Tate McRae;22;852;503;19
Fuerza Regida;22;820;125;59
Panic! At The Disco;22;806;854;50
Dr. Dre;22;806;583;72
Jennifer Lopez;22;800;360;3
El Alfa;22;652;171;62
NeYo;22;638;529;81
Childish Gambino;22;636;743;29
Martin Garrix;22;635;843;36
Billy Joel;22;567;417;18
Vance Joy;22;539;880;38
Eladio Carrion;22;534;665;50
Trippie Redd;22;527;269;4
Mark Ronson;22;509;775;31
Macklemore & Ryan Lewis;22;494;608;50
Ryan Lewis;22;451;715;49
The Lumineers;22;447;688;137
Shilpa Rao;22;415;4;208
Nicki Nicole;22;404;339;7
Mora;22;354;623;199
Megan Thee Stallion;22;276;169;743
Elley DuhÃ©;22;242;502;116
The Killers;22;220;165;28
Kim Petras;22;209;434;139
Luis Fonsi;22;126;853;11
MÃ¥neskin;22;17;529;207
VishalShekhar;22;17;118;32
SachinJigar;21;882;944;16
Skrillex;21;776;916;8
Paramore;21;507;264;58
MEDUZA;21;452;812;5
Clean Bandit;21;416;998;2
Camilo;21;355;225;61
The Notorious B.I.G.;21;337;810;47
Brent Faiyaz;21;328;5;35
Felix Jaehn;21;252;900;25
Lizzo;21;204;430;114
Jonas Blue;21;171;279;51
John Legend;21;156;371;3
Lorde;21;135;977;61
Sech;21;69;14;44
Outkast;21;54;876;12
Zach Bryan;21;27;724;418
Summer Walker;20;988;470;10
JID;20;839;227;33
Wisin & Yandel;20;830;791;781
Foo Fighters;20;702;362;10
Phil Collins;20;668;195;24
Bastille;20;612;768;28
Zion & Lennox;20;579;547;14
Roddy Ricch;20;560;456;182
Tanishk Bagchi;20;541;786;28
Anitta;20;478;580;23
Eagles;20;377;153;384
Natanael Cano;20;317;260;10
TOTO;20;311;58;33
Offset;20;266;550;62
Plan B;20;263;118;7
NLE Choppa;20;234;883;54
U2;20;231;49;19
Oasis;20;201;900;29
Lauv;20;133;270;39
Jubin Nautiyal;20;122;460;55
KK;20;82;172;20
Anderson .Paak;20;64;181;20
Burna Boy;20;59;135;49
Tears For Fears;20;49;284;81
Udit Narayan;20;17;880;2
Marvin Gaye;19;999;932;106
Ruth B.;19;993;155;27
Daft Punk;19;955;865;24
Rels B;19;927;938;48
Tiago PZK;19;841;135;28
Chris Stapleton;19;801;736;52
Christian Nodal;19;764;453;7
Bryan Adams;19;753;710;15
5 Seconds of Summer;19;747;371;45
Reik;19;710;478;13
Darshan Raval;19;709;477;59
Timbaland;19;697;130;245
Bob Marley & The Wailers;19;665;617;50
Gabito Ballesteros;19;637;756;60
Alesso;19;557;582;27
Florence + The Machine;19;552;706;15
PNAU;19;504;177;40
A Boogie Wit da Hoodie;19;293;685;143
B.o.B;19;263;68;16
Grupo Firme;19;86;940;50
Stevie Wonder;19;33;396;8
TINI;19;22;854;46
Alka Yagnik;19;6;775;10
Jay Wheeler;18;977;419;72
Nelly;18;927;46;946
Kesha;18;881;699;8
Shankar Mahadevan;18;856;947;1
