Demi Lovato,"31083651","142413",102,"31083651"
Alan Walker,"31013358","-48174",100,"33218914"
Pharrell Williams,"30939195","-60901",102,"33039602"
Wiz Khalifa,"30768961","-37240",103,"31867476"
Lil Baby,"30624100","-122191",100,"31786556"
Snoop Dogg,"30263549","-59762",109,"31429177"
Macklemore,"30261973","48215",125,"30626076"
Red Hot Chili Peppers,"30185947","1249",122,"30682414"
Juice WRLD,"30165389","-54308",94,"32553139"
The Beatles,"30044113","52624",108,"31696352"
Green Day,"29704236","158004",129,"29704236"
A$AP Rocky,"29660375","-23433",100,"33183011"
Tyler The Creator,"29527907","-26626",86,"34491803"
DaBaby,"29327146","-34517",103,"32070946"
Young Miko,"29292068","-15141",133,"29307209"
Tainy,"29180506","-75309",91,"35233699"
Lil Nas X,"29158630","-51864",61,"37597256"
Labrinth,"29013808","27513",67,"36829106"
Creedence Clearwater Revival,"28942817","90137",137,"29547475"
Guns N' Roses,"28849559","32997",135,"28849559"
Dave,"28749706","109163",139,"28749706"
USHER,"28531394","1180",134,"28894796"
AC/DC,"28530585","38379",135,"29132903"
Kodak Black,"28193190","27872",99,"33708388"
Chencho Corleone,"28042630","42560",106,"31051924"
Sebastian Yatra,"28039329","6030",137,"28235688"
Hozier,"28000162","65879",105,"30293009"
RAYE,"27913578","300641",70,"36484906"
Nirvana,"27865999","-13961",132,"28310769"
Nicky Jam,"27839029","-19928",128,"30366327"
Miguel,"27835809","-27797",80,"34144669"
Frank Ocean,"27775072","48033",150,"27775072"
ABBA,"27756518","6112",141,"28390214"
Lil Durk,"27688791","-64922",92,"34773282"
Flo Rida,"27655303","57232",139,"28152627"
Troye Sivan,"27324893","90666",140,"28352154"
Robin Schulz,"27163571","-24072",76,"34908935"
Kygo,"27098941","-58266",127,"29436685"
Bon Jovi,"26747426","43119",157,"26864457"
Junior H,"26714363","53153",142,"28680566"
Ty Dolla $ign,"26675835","-86111",132,"29389940"
Calum Scott,"26667453","-1960",131,"28397540"
Steve Lacy,"26650153","81926",111,"29765204"
Jack Harlow,"26620407","-14428",103,"32198313"
Eslabon Armado,"26453581","-125276",64,"40132836"
Daniel Caesar,"26269701","7187",158,"26993957"
Stephen Sanchez,"26219969","-73423",82,"34322910"
Bee Gees,"26203297","115012",166,"26203297"
The Police,"26182817","95098",167,"26182817"
Meghan Trainor,"26105163","-6434",69,"37377997"
Fall Out Boy,"26034639","-46938",129,"30377374"
DJ Khaled,"26022795","-275175",124,"27862957"
FIFTY FIFTY,"25946120","-141191",70,"37675143"
Maria Becerra,"25927836","3571",159,"26919900"
The Rolling Stones,"25826785","277634",173,"25826785"
